_source_id,ID,Fecha,Ubicación,Provincia,País,Ciudad,Lugar,Título,Num. ponentes,Num. asistentes,Num. registrados,Link,Tipología,Tecnología,Ámbito,Sector,En colaboración,Partner
72937,72937,10-11-2026,internacional,,Alemania,Munich,Trade fair center messe münchen,SEMICON Europa | Munich,,,,https://www.secpho.org/agenda/semicon-europa-2026/,['International'],['Microelectrónica y Semiconductores'],['Industria 4.0'],['Fabricación industrial'],False,
70936,70936,30-09-2026,nacional,Navarra,,Pamplona,,SECPHO SUMMIT 2026,0,,,https://www.secpho.org/agenda/summit-2026/,['Networking'],"['AR/VR', 'Biotecnología', 'Blockchain', 'Ciberseguridad y Cloud Computing', 'Fabricación Aditiva', 'Fotónica', 'Iluminación avanzada', 'Inteligencia Artificial y datos', 'IoT', 'Materiales Avanzados', 'Microelectrónica y Semiconductores', 'Robótica y Drones', 'Sensórica avanzada', 'Sistemas láser']","['Acción climática y medio ambiente', 'Agricultura, bosques y océanos', 'Energía limpia y eficiente', 'Industria 4.0', 'Movilidad inteligente', 'New Space, defensa y seguridad', 'Salud y bienestar', 'Seguridad alimentaria', 'Smart cities']","['Aeronáutica', 'Agroalimentación', 'Automoción', 'Construcción', 'Cosmética y Estética', 'Defensa', 'Espacio', 'Fabricación industrial', 'Ferroviario', 'Industria química', 'Logística', 'Materias primas', 'Medioambiente', 'Naval', 'Patrimonio Cultural', 'Salud', 'Sector energético', 'Sector farmacéutico', 'Seguridad', 'Telecomunicaciones', 'Turismo']",True,
67494,67494,15-09-2026,online,,,,,"Market Focus | Fotónica ambiental: monitorización para medir en tiempo real contaminantes en aire, agua y suelos",,,,https://www.secpho.org/agenda/fotonica-ambiental/,['Market Focus'],"['Inteligencia Artificial y datos', 'Robótica y Drones', 'Sensórica avanzada']",['Acción climática y medio ambiente'],['Medioambiente'],True,
70323,70323,17-06-2026,online,,,,,Market Focus | Tecnologías para el mantenimiento de plantas eólicas y solares,,,,https://www.secpho.org/agenda/market-focus-renovables/,['Market Focus'],"['Inteligencia Artificial y datos', 'IoT', 'Robótica y Drones', 'Sensórica avanzada', 'Tecnologías Cuánticas']",['Energía limpia y eficiente'],['Sector energético'],True,
74972,74972,19-05-2026,online,,Alemania,,,De la naturaleza a la industria: Superficies funcionalizadas con láser para una fabricación de alta eficiencia,10,,,https://www.secpho.org/agenda/bilasurf-esp/,['International'],['Sistemas láser'],"['Energía limpia y eficiente', 'Industria 4.0']",['Aeronáutica'],True,Bilasurf consortium
74795,74795,11-05-2026,online,,,,,Misiones Ciencia e Innovación 2026 | Sesión para conectar capacidades y construir consorcios,2,115,,https://www.secpho.org/agenda/misiones-2026/,['Networking'],['Todas'],"['Energía limpia y eficiente', 'New Space, defensa y seguridad', 'Salud y bienestar', 'Seguridad alimentaria', 'Smart cities']","['Aeronáutica', 'Agroalimentación', 'Construcción', 'Defensa', 'Medioambiente', 'Salud', 'Sector energético', 'Sector farmacéutico', 'Seguridad']",True,"Zabala, CDTI"
72803,72803,08-05-2026,online,,,,,Tech Meeting | Recubrimientos funcionales en fabricación industrial avanzada,3,,,https://www.secpho.org/agenda/recubrimientos-fabricacion-industrial-2/,['Tech Meeting'],['Materiales Avanzados'],['Industria 4.0'],['Fabricación industrial'],True,"Icmab, Alba sinctrotrón, INMA"
68579,68579,28-04-2026,nacional,,,Barcelona,Eurecat,Showroom tecnológico | Robótica móvil y fabricación avanzada,,,,https://www.secpho.org/agenda/robotica-fabricacion-avanzada/,['Networking'],"['Fabricación Aditiva', 'Robótica y Drones']","['Gestión de la innovación', 'Industria 4.0']",['Todos'],True,Eurecat
72899,72899,09-04-2026,online,Madrid,,,,Who is Who | Casos de éxito de IA aplicada a procesos industriales,7,146,171,https://www.secpho.org/agenda/who_is_who_ia/,['Who is who'],['Inteligencia Artificial y datos'],['Industria 4.0'],"['Agroalimentación', 'Construcción', 'Fabricación industrial']",False,
72388,72388,26-03-2026,online,,,,,"Diseñar, construir y escalar deep tech | Best Practices &#8211; Sesión #2",4,18,,https://www.secpho.org/agenda/bestpractices-7-2/,['Best Practices'],['Fotónica'],"['Acción climática y medio ambiente', 'Agricultura, bosques y océanos', 'Energía limpia y eficiente', 'Industria 4.0', 'Movilidad inteligente', 'New Space, defensa y seguridad', 'Salud y bienestar', 'Seguridad alimentaria', 'Smart cities']","['Aeronáutica', 'Agroalimentación', 'Automoción', 'Construcción', 'Cosmética y Estética', 'Defensa', 'Espacio', 'Fabricación industrial', 'Ferroviario', 'Industria química', 'Logística', 'Materias primas', 'Medioambiente', 'Naval', 'Patrimonio Cultural', 'Salud', 'Sector energético', 'Sector farmacéutico', 'Seguridad', 'Telecomunicaciones', 'Turismo']",True,Inbroll
