_source_id,Socio,Tipo de empresa,Tipo de socio,Pub./Priv.,Socio Estratégico,Prog. Inversión,Fecha ult. act.,Link a ficha/deck,Inversores,Etapa startup,Año constitución,Inversion recibida,Inversion buscada,Meses valle,Nivel de participación,Regiones interés actual,Regiones interés futuro,Cadena de valor,Resumen actividad,Fecha inicio fondos,Tamaño fondos,Min ticket,Max ticket,Fases enfoque,Regiones enfoque,Startups en portfolio,Interés en tecnologías,Interés en ámbitos,Interés en sectores,Cifra de negocio,Num. de empleados,Exportación,CNAE
0,2EyesVision,Startup o Spinoff,Socio,privado,0,1,,https://secpho.sharepoint.com/:b:/s/secphoteam2/IQCbjASu8aopS7W5x3mTgg3QAa4UaEdZrIRPYS2QBbYG1HM?e=05N6xq,,Serie A,03/07/2015,7500000,5000000,,Nuevo,"NE Asiático, SE Asiático, Norteamérica, Sudamérica, Australia y Oceanía",,Fabricación de sistemas,"Investigación, desarrollo y comercialización de tecnologías innovadoras en oftalmología",,,,,,,,,,,"240.997,00 €",17,100 %,7211
1,5SKILL SOLUTIONS,Pyme tecnológica,Socio,privado,,0,,,,,25/06/2015,,,,Nuevo,,,Ingeniería e integración,"Actvidades de programacion informatica, consultorias, gestion de recursos..",,,,,,,,,,,"569.237,00 €",19,0 %,6203
2,Abertis,End User o Coporate,OIC,privado,,0,,,,,24/02/1967,,,,No definido,,,Usuario final,"Operador de referencia internacional en la gestión de vías de alta capacidad, calidad y soluciones inteligentes de movilidad.",,,,,,,,,,,No definido,N/A,N/A,N/A
3,Adara Ventures,Inversores y gestoras de VC o PE,Potencial,,0,1,,,,,,,,,No definido,,,No definido,,17/03/2025,100000000,250000,2500000,"Pre-semilla, Semilla",Europa,45,Ciberseguridad y Cloud Computing; Microelectrónica y Semiconductores; Sistemas de Comunicación y Transmisión de Datos,Energía limpia y eficiente; Salud y bienestar,Espacio; Medioambiente; Salud; Sector energético,No definido,N/A,N/A,N/A
4,ADDICRAFT ENGINEERING,Startup o Spinoff,Socio,privado,0,1,,,,Serie A,07/04/2025,10.000,100.000,,Nuevo,,"América Central y Caribe, Sudamérica, África, Oriente Medio, Asia Central y Meridional",Ingeniería e integración,Optimización Topológica para la industria,,,,,,,,,,,"0,00 €",2,0 %,N/A
5,AIMEN Centro Tecnológico,Centro o Grupo de I+D+i,Socio,privado,,0,,,,,08/08/1967,,,,No definido,Europa,Sudamérica,I+D,Centro de I+D y transferencia tecnológica,,,,,,,,,,,"8.866.138,63 €",285,7 %,7112
6,AINIA,Centro o Grupo de I+D+i,Socio,privado,,0,,,,,03/12/1987,,,,Poco activo,,,Transferencia de tecnología,Centro tecnológico que promueve la innovación tecnológica de las empresas para mejorar su competitividad,,,,,,,,,,,"21.177.000,00 €",260,20 %,7219
7,Air Drone Logistics,Micropyme tecnológica,Socio,privado,0,0,,,,Semilla,24/09/2020,0,0,,Nuevo,,,Distribución,Servicios de inventario de almacén con drones,,,,,,,,,,,"85.919,72 €",2,N/A,8301
8,Airbus Defence&Space,End User o Coporate,OIC,privado,,0,,,,,02/03/1923,,,,No definido,,,Usuario final,Espacio,,,,,,,,,,,No definido,N/A,N/A,N/A
9,Alba Synchrotron,Centro o Grupo de I+D+i,Socio,publico,0,0,,,,,14/03/2003,,,,Nuevo,"Norteamérica, Europa, NE Asiático","Europa, Norteamérica",I+D,Centro I+D,,,,,,,,,,,"18.000.000,00 €",260,55 %,8411
10,Aleatica,End User o Coporate,OIC,privado,,0,,,,,27/11/2000,,,,No definido,,,Usuario final,"Movilidad inteligente, segura y sostenible. Aleatica es un operador puro de infraestructura de transporte, de origen australiano, con presencia en Europa y América Latina",,,,,,,,,,,No definido,N/A,N/A,N/A
11,Alter Technology,Gran Empresa tecnológica,Socio,privado,0,0,,,,,10/06/1999,,,,Inactivo,,,Ingeniería e integración,"Pyme: mediana empresa, pero consolida cuentas con el grupo y se considera gran empresa a efectos de subvenciones. Ingeniería",,,,,,,,,,,"52.961.988,00 €",260,85 %,7112
12,AMS Technologies,Pyme tecnológica,Socio,privado,,0,,,,,01/08/2001,,,,Poco activo,,,"Distribución, Ingeniería e integración",Distribución de componentes fotónicos / Fabricación chillers y lasers,,,,,,,,,,,"1.871.262,00 €",3,30 %,4619
13,Analog thinking,Startup o Spinoff,Socio,privado,,1,,,,Pre-semilla,17/03/2023,,525000,,No definido,"Norteamérica, Europa, SE Asiático",,Ingeniería e integración,Diseño de circuitos integrados,,,,,,,,,,,No definido,3,90 %,N/A
14,Angulas Aguinaga,End User o Coporate,OIC,privado,0,0,,,,,01/11/1974,,,,No definido,,,Usuario final,Actividades de investigación,,,,,,,,,,,"1.169.000,00 €",12,N/A,806
15,Aotech,Startup o Spinoff,Socio,privado,0,1,,https://secpho.sharepoint.com/:b:/s/secphoteam2/IQB7UicfhjvBS4zefJ60RiBUARgtutCeANiNdXh78wMf5B8?e=fLrj4e,,,21/02/2019,,1200000,,Nuevo,Europa,Europa,Fabricación de sistemas,Desarrollo de soluciones fotónicas aplicadas a procesos industriales,,,,,,,,,,,"100.000,00 €",4,5 %,7112
16,ArcelorMittal,End User o Coporate,Socio,privado,0,0,,,,,25/06/2006,,,,No definido,,,Usuario final,I+D+i,,,,,,,,,,,"1.309.128,00 €",15,0 %,2452
17,Asabys Partners,Inversores y gestoras de VC o PE,Potencial,,0,1,30/03/2026,,,,,,,,No definido,,,No definido,Gestora de fondos de VC especializados en Biotech y healthtech,01/01/2023,180000000,7000000,10000000,"Serie A, Serie B",Europa,10,,Salud y bienestar,Salud,No definido,N/A,N/A,N/A
18,ASENSE,Pyme tecnológica,Socio,privado,0,1,03/03/2026,https://secpho.sharepoint.com/:b:/s/secphoteam2/IQBRyCdA64WOT7a7x01Moqp1ASQHNmdA2P-QzeRwv8ma0EA?e=1AuYZO,,,02/06/2011,,2000000,,Nuevo,"Norteamérica, Europa","América Central y Caribe, NE Asiático, SE Asiático, Asia Central y Meridional",Ingeniería e integración,Ingeniería de desarrollo y producción en serie de sistemas ópticos avanzados,,,,,,,,,,,"218.671.147,00 €",25,89 %,N/A
19,ASINCAR,Centro o Grupo de I+D+i,Socio,privado,0,0,,,,,01/01/1977,,,,No definido,,,I+D,Centro tecnológico agroalimentario,,,,,,,,,,,"795.422,73 €",27,0 %,7490
20,AsorCAD Engineering,Pyme tecnológica,Socio,privado,,0,,,,,02/03/2006,,,,Activo,,,Ingeniería e integración,"Distribuidores Stratasys  Creaform y Geomagic. Servicios de escaneado 3D, ingeniería inversa y metrología",,,,,,,,,,,"1.400.000,00 €",14,5 %,7112
21,Axon Partners Group,Inversores y gestoras de VC o PE,Potencial,privado,0,0,,,,,,,,,No definido,,,No definido,Gestora de fondos de VC ,07/02/2025,250000000,,,"Serie B, Expansión",Europa,,Ciberseguridad y Cloud Computing,Acción climática y medio ambiente; Energía limpia y eficiente; Salud y bienestar,Medioambiente; Salud; Seguridad,No definido,N/A,N/A,N/A
22,Backfund,Inversores y gestoras de VC o PE,Potencial,privado,0,0,,,,,,,,,No definido,,,No definido,Gestora de fondos de VC especializados en tecnología,,35000000,100000,500000,"Pre-semilla, Semilla",Europa,,,,,No definido,N/A,N/A,N/A
23,BANCO SABADELL BStartup10,Inversores y gestoras de VC o PE,Potencial,privado,0,0,07/04/2026,,,,,,,,No definido,,,No definido,,,,,200.000,Pre-semilla,Europa,,Inteligencia Artificial y datos; Tecnologías Cuánticas; Todas,Acción climática y medio ambiente; Salud y bienestar,Todos,No definido,N/A,N/A,N/A
24,Baux,End User o Coporate,OIC,privado,0,0,,,,,17/05/2000,,,,No definido,,,Usuario final,Grupo industrial dedicado a la producción y lacado de aluminio,,,,,,,,,,,No definido,N/A,N/A,N/A
