entity_key,entity_name,sources,is_official_socio,has_business_profile,has_contact_record,has_member_profile,has_subscriber_contact,source_count
2eyesvision,2EyesVision,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
5skillsolutions,5SKILL SOLUTIONS,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
addicraftengineering,ADDICRAFT ENGINEERING,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
aimencentrotecnologico,AIMEN Centro Tecnológico,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
ainia,AINIA,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
amstechnologies,AMS Technologies,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
asense,ASENSE,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
asincar,ASINCAR,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
albasynchrotron,Alba Synchrotron,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
altertechnology,Alter Technology,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
aotech,Aotech,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
arcelormittal,ArcelorMittal,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
asorcadengineering,AsorCAD Engineering,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
biobeesemiconductors,BIOBEE semiconductors,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
beamagine,Beamagine,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
beawre,Beawre,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
biyiud,Biyiud,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
bullnetcapital,Bullnet Capital,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
catuav,CAT UAV,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
cd6upc,CD6 - UPC,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
ceit,CEIT,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
cemdaticupm,CEMDATIC - UPM,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
cimne,CIMNE,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
covap,COVAP,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
cvblab,CVBLab,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
cvc,CVC,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
calsens,CalSens,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
celsa,Celsa,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
clavecapital,Clave Capital,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
coherentespana,Coherent España,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
deeptechbuilder,DeepTech Builder,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
delvy,Delvy,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
denebmedical,Deneb Medical,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
diipartificialintelligence,Diip Artificial Intelligence,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
dracosystems,Draco Systems,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
dronomy,Dronomy,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
easoventuresscr,EASO VENTURES SCR,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
exomengineering,EXOM engineering,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
eurecat,Eurecat,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
fundaciongeneralcsic,FUNDACIÓN GENERAL CSIC,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
fagorautomation,Fagor Automation,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
fujitsu,Fujitsu,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
gpainnova,GPAINNOVA,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
graphenea,Graphenea,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
greenlightsolutions,Greenlight Solutions,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
grupooesia,Grupo Oesía,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
hamamatsuphotonics,Hamamatsu Photonics,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
icfo,ICFO,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
icmabcsic,ICMAB - CSIC,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
ikerlan,IKERLAN,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
imbcnm,IMB-CNM,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
in2ub,IN2UB,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
inbrooll,INBROOLL,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
indo,INDO,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
inmacsic,INMA-CSIC,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
ioviintelligentvision,IOVI Intelligent Vision,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
irta,IRTA,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
imasenic,Imasenic,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
institutodeopticacsic,Instituto de Óptica (CSIC),datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
kd,KD,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
kadanssciencepartner,Kadans Science Partner,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
laintec,LAINTEC,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
