file_name,tables_read,rows_normalized,status
'10 Reunión anual secpho_2025-04-25_10-51'.xls,1,21,ok
'31BIEMH _ Cena de Networking_2025-04-25_08-20'.xls,1,22,ok
'3rd FoodPackLab Innovation workshop_2025-04-25_10-48'.xls,1,3,ok
'A new era in food security_2025-04-25_10-03'.xls,1,68,ok
'A new opportunity to boost R&D&I in Spain_2025-04-25_09-31'.xls,1,1,ok
'Acercándonos al mercado asiático _ Best Practices 2_2025-04-24_15-33'.xls,1,19,ok
'Advanced Microscopy_2025-04-25_08-37'.xls,1,10,ok
'AEROSPACE & DEFENSE MEETINGS SEVILLA 2020_2025-04-25_10-42'.xls,1,1,ok
'Agritech & Foodtech _ Pitch & Networking_2025-04-25_08-21'.xls,1,4,ok
'Agritech and foodtech online fair_2025-04-25_08-36'.xls,1,22,ok
'AI for Industry International Congress_2025-04-25_08-49'.xls,1,185,ok
'Algoritmos de IA para diseñar vestimenta de camuflaje_2025-04-24_15-58'.xls,1,1,ok
'Anticovid Technologies Day_2025-04-25_09-21'.xls,1,81,ok
'Aplicaciones aeroespaciales basadas en la luz_2025-04-25_11-03'.xls,1,1,ok
'Aplicaciones de la luz en la cosmética_2025-04-25_11-05'.xls,1,27,ok
'Aplicaciones de la Luz para la Industria Aeroespacial_2025-04-25_11-02'.xls,1,29,ok
'Aplicaciones de las tecnologías de terahercios_2025-04-25_10-47'.xls,1,104,ok
'Aplicaciones de robótica móvil colaborativa para la industria 4.0_2025-04-25_08-01'.xls,1,33,ok
'Aplicación de la espectroscopia a la cadena de valor del aceite_2025-04-24_15-56'.xls,1,25,ok
'Aplicación de las Deep Tech a la Arqueología y el Patrimonio Cultural_2025-04-25_08-31'.xls,1,2,ok
'Aplicación de las tecnologías de la luz en la gestión del agua urbana e industrial_2025-04-25_11-02'.xls,1,17,ok
'Applications of terahertz technologies_2025-04-25_10-43'.xls,1,31,ok
'Artificial intelligence and photonics applied to industry_2025-04-25_09-48'.xls,1,26,ok
'Augmented reality and collaborative robots for remote industrial equipment installation_2025-04-24_16-03'.xls,1,2,ok
'Augmented reality in automotive and aeronautics factories_2025-04-25_09-32'.xls,1,2,ok
'Automatización del proceso de corte con láser mediante fabricación aditiva con termoplásticos_2025-04-24_16-05'.xls,1,12,ok
'BACH Tech Week _ Burgos Archeology and Cultural Heritage Technology Week_2025-04-25_08-17'.xls,1,22,ok
'BACH Tech Week _ Burgos Technology in Archeology and Cultural Heritage Week_2025-04-25_08-19'.xls,1,10,ok
'Barcelona Biophotonics B2B Convention_2025-04-25_11-11'.xls,1,14,ok
