matched_socio_name,registration_rows
Sin Entidad,40
Praxi Network,11
AIN – Asociación de la Industria de Navarra,11
ATRIA Innovation,10
Starlab Barcelona,10
Teamnet,9
Grupo Álava,8
I3A – Instituto de Investigación en Ingeniería de Aragón,8
FYLA,7
ACCIÓ,7
CNR - IFAC,7
Lortek,7
CandelTEC,7
"Goldcoast Food, Herbs & Spices Limited",6
IRIS,6
Fundació Bosch i Gimpera,6
Politecnico di Milano,6
I.M CONSULTING,6
Laboratorios Ordesa S.L,6
rew,5
Gaston Bilder,5
ACCIÓ – Catalonia Trade & Investment,5
PICVISA,5
EATEX Food Innovation Hub,5
NEURTEK Instruments,5
Muster Ventures,5
IACTec – Instituto de Astrofísica de Canarias,5
CNTA – Centro Nacional de Tecnología y Seguridad Alimentaria,5
Atten2,5
Photon Lines,5
uni,5
S’fia Farms & Agro Processing Ltd,4
ILVO,4
Flanders\' FOOD,4
Bcn Vision,4
Bayer,4
Across Legal,4
Science Park of Crete,4
Universidad Autónoma de Barcelona,4
Laser 2000 SAS,3
casa,3
ONLASER,3
Praise Export,3
INESC TEC,3
Fcup,3
Exceltic,3
IFAC-CNR – Istituto di Fisica Applicata Nello Carrara,3
IFC Team,3
UniCan – Grupo de Ingeniería Fotónica,3
INESCOP,3
IDAEA CSIC,3
TIC Soluciones,3
TRUMPF,3
INTA,3
NüTech,3
TICSoluciones,3
Miguel Torres S.A.,3
UCM-GSOLFA – Sensores Químicos Ópticos y Fotoquímica Aplicada,3
www.campag.es,3
IITGN,3
ERAIKUNE BasqueConstructionCluster,3
Hegan,3
Federación Vizcaína de Empresas del Metal,3
secpho,3
GNC Laser,3
GoHub,3
Freelance,3
Universidad Politécnica de Madrid,3
Liverpool John Moores University,3
Institute of Physics Belgrade,3
SubC Imaging,3
Universidad de Granada,3
agricola rio rocin spa,3
PRO-LiTE Iberia,2
Jeanologia Laser,2
Jubilado (Ex-Alter Technology),2
CELSA GROUP,2
Alteria Automation,2
Infinitia Research,2
University of Geneva,2
LBC AFRICA,2
VITAGORA,2
Institute of Productivity,2
EASME,2
PROVA,2
Integrated Systems Engineering,2
IIT Guwahati,2
Idem,2
ICE,2
Panchromos Limited,2
3if.eu,2
UPintelligence S.L.,2
Kapture Intelligence,2
Universidad de Deusto,2
L'Econòmic/El Punt Avui,2
Onalabs,2
Universidade de Santiago de Compostela,2
INCAR-CSIC – Instituto de Ciencia y Tecnología del Carbono,2
UAB – OPTICS GROUP,2
Leitat Chile,2
Universidad Autónoma de Madrid,2
ISDEFE/INTA,2
CENER,2
Mesurex,2
COMSA Industrial,2
Multiscan Technologies,2
Animar,2
FOCUS,2
ISDEFE – Ingeniería de Sistemas para la Defensa de España,2
Infaimon,2
ALFAMETAL,2
