event_id,event_date,title,location_type,province,country,city,place,link,typology,technologies,ambitos,sectors,in_collaboration,partner,num_speakers,num_attendees,num_registered,event_text
72937,10-11-2026,SEMICON Europa | Munich,internacional,,Alemania,Munich,Trade fair center messe münchen,https://www.secpho.org/agenda/semicon-europa-2026/,International,Microelectrónica y Semiconductores,Industria 4.0,Fabricación industrial,False,,,,,SEMICON Europa | Munich. International. Microelectrónica y Semiconductores. Industria 4.0. Fabricación industrial. internacional. Munich
70936,30-09-2026,SECPHO SUMMIT 2026,nacional,Navarra,,Pamplona,,https://www.secpho.org/agenda/summit-2026/,Networking,AR/VR | Biotecnología | Blockchain | Ciberseguridad y Cloud Computing | Fabricación Aditiva | Fotónica | Iluminación avanzada | Inteligencia Artificial y datos | IoT | Materiales Avanzados | Microelectrónica y Semiconductores | Robótica y Drones | Sensórica avanzada | Sistemas láser,"Acción climática y medio ambiente | Agricultura, bosques y océanos | Energía limpia y eficiente | Industria 4.0 | Movilidad inteligente | New Space, defensa y seguridad | Salud y bienestar | Seguridad alimentaria | Smart cities",Aeronáutica | Agroalimentación | Automoción | Construcción | Cosmética y Estética | Defensa | Espacio | Fabricación industrial | Ferroviario | Industria química | Logística | Materias primas | Medioambiente | Naval | Patrimonio Cultural | Salud | Sector energético | Sector farmacéutico | Seguridad | Telecomunicaciones | Turismo,True,,0.0,,,"SECPHO SUMMIT 2026. Networking. AR/VR | Biotecnología | Blockchain | Ciberseguridad y Cloud Computing | Fabricación Aditiva | Fotónica | Iluminación avanzada | Inteligencia Artificial y datos | IoT | Materiales Avanzados | Microelectrónica y Semiconductores | Robótica y Drones | Sensórica avanzada | Sistemas láser. Acción climática y medio ambiente | Agricultura, bosques y océanos | Energía limpia y eficiente | Industria 4.0 | Movilidad inteligente | New Space, defensa y seguridad | Salud y bienestar | Seguridad alimentaria | Smart cities. Aeronáutica | Agroalimentación | Automoción | Construcción | Cosmética y Estética | Defensa | Espacio | Fabricación industrial | Ferroviario | Industria química | Logística | Materias primas | Medioambiente | Naval | Patrimonio Cultural | Salud | Sector energético | Sector farmacéutico | Seguridad | Telecomunicaciones | Turismo. nacional. Navarra. Pamplona"
67494,15-09-2026,"Market Focus | Fotónica ambiental: monitorización para medir en tiempo real contaminantes en aire, agua y suelos",online,,,,,https://www.secpho.org/agenda/fotonica-ambiental/,Market Focus,Inteligencia Artificial y datos | Robótica y Drones | Sensórica avanzada,Acción climática y medio ambiente,Medioambiente,True,,,,,"Market Focus | Fotónica ambiental: monitorización para medir en tiempo real contaminantes en aire, agua y suelos. Market Focus. Inteligencia Artificial y datos | Robótica y Drones | Sensórica avanzada. Acción climática y medio ambiente. Medioambiente. online"
70323,17-06-2026,Market Focus | Tecnologías para el mantenimiento de plantas eólicas y solares,online,,,,,https://www.secpho.org/agenda/market-focus-renovables/,Market Focus,Inteligencia Artificial y datos | IoT | Robótica y Drones | Sensórica avanzada | Tecnologías Cuánticas,Energía limpia y eficiente,Sector energético,True,,,,,Market Focus | Tecnologías para el mantenimiento de plantas eólicas y solares. Market Focus. Inteligencia Artificial y datos | IoT | Robótica y Drones | Sensórica avanzada | Tecnologías Cuánticas. Energía limpia y eficiente. Sector energético. online
74972,19-05-2026,De la naturaleza a la industria: Superficies funcionalizadas con láser para una fabricación de alta eficiencia,online,,Alemania,,,https://www.secpho.org/agenda/bilasurf-esp/,International,Sistemas láser,Energía limpia y eficiente | Industria 4.0,Aeronáutica,True,Bilasurf consortium,10.0,,,De la naturaleza a la industria: Superficies funcionalizadas con láser para una fabricación de alta eficiencia. International. Sistemas láser. Energía limpia y eficiente | Industria 4.0. Aeronáutica. online. Bilasurf consortium
74795,11-05-2026,Misiones Ciencia e Innovación 2026 | Sesión para conectar capacidades y construir consorcios,online,,,,,https://www.secpho.org/agenda/misiones-2026/,Networking,Todas,"Energía limpia y eficiente | New Space, defensa y seguridad | Salud y bienestar | Seguridad alimentaria | Smart cities",Aeronáutica | Agroalimentación | Construcción | Defensa | Medioambiente | Salud | Sector energético | Sector farmacéutico | Seguridad,True,"Zabala, CDTI",2.0,115.0,,"Misiones Ciencia e Innovación 2026 | Sesión para conectar capacidades y construir consorcios. Networking. Todas. Energía limpia y eficiente | New Space, defensa y seguridad | Salud y bienestar | Seguridad alimentaria | Smart cities. Aeronáutica | Agroalimentación | Construcción | Defensa | Medioambiente | Salud | Sector energético | Sector farmacéutico | Seguridad. online. Zabala, CDTI"
72803,08-05-2026,Tech Meeting | Recubrimientos funcionales en fabricación industrial avanzada,online,,,,,https://www.secpho.org/agenda/recubrimientos-fabricacion-industrial-2/,Tech Meeting,Materiales Avanzados,Industria 4.0,Fabricación industrial,True,"Icmab, Alba sinctrotrón, INMA",3.0,,,"Tech Meeting | Recubrimientos funcionales en fabricación industrial avanzada. Tech Meeting. Materiales Avanzados. Industria 4.0. Fabricación industrial. online. Icmab, Alba sinctrotrón, INMA"
68579,28-04-2026,Showroom tecnológico | Robótica móvil y fabricación avanzada,nacional,,,Barcelona,Eurecat,https://www.secpho.org/agenda/robotica-fabricacion-avanzada/,Networking,Fabricación Aditiva | Robótica y Drones,Gestión de la innovación | Industria 4.0,Todos,True,Eurecat,,,,Showroom tecnológico | Robótica móvil y fabricación avanzada. Networking. Fabricación Aditiva | Robótica y Drones. Gestión de la innovación | Industria 4.0. Todos. nacional. Barcelona. Eurecat
72899,09-04-2026,Who is Who | Casos de éxito de IA aplicada a procesos industriales,online,Madrid,,,,https://www.secpho.org/agenda/who_is_who_ia/,Who is who,Inteligencia Artificial y datos,Industria 4.0,Agroalimentación | Construcción | Fabricación industrial,False,,7.0,146.0,171.0,Who is Who | Casos de éxito de IA aplicada a procesos industriales. Who is who. Inteligencia Artificial y datos. Industria 4.0. Agroalimentación | Construcción | Fabricación industrial. online. Madrid
72388,26-03-2026,"Diseñar, construir y escalar deep tech | Best Practices &#8211; Sesión #2",online,,,,,https://www.secpho.org/agenda/bestpractices-7-2/,Best Practices,Fotónica,"Acción climática y medio ambiente | Agricultura, bosques y océanos | Energía limpia y eficiente | Industria 4.0 | Movilidad inteligente | New Space, defensa y seguridad | Salud y bienestar | Seguridad alimentaria | Smart cities",Aeronáutica | Agroalimentación | Automoción | Construcción | Cosmética y Estética | Defensa | Espacio | Fabricación industrial | Ferroviario | Industria química | Logística | Materias primas | Medioambiente | Naval | Patrimonio Cultural | Salud | Sector energético | Sector farmacéutico | Seguridad | Telecomunicaciones | Turismo,True,Inbroll,4.0,18.0,,"Diseñar, construir y escalar deep tech | Best Practices &#8211; Sesión #2. Best Practices. Fotónica. Acción climática y medio ambiente | Agricultura, bosques y océanos | Energía limpia y eficiente | Industria 4.0 | Movilidad inteligente | New Space, defensa y seguridad | Salud y bienestar | Seguridad alimentaria | Smart cities. Aeronáutica | Agroalimentación | Automoción | Construcción | Cosmética y Estética | Defensa | Espacio | Fabricación industrial | Ferroviario | Industria química | Logística | Materias primas | Medioambiente | Naval | Patrimonio Cultural | Salud | Sector energético | Sector farmacéutico | Seguridad | Telecomunicaciones | Turismo. online. Inbroll"
