socio,socio_key,company_type,member_type,has_business_profile,member_profile_count,contact_record_count,subscriber_contact_count,retos_as_issuer_count,retos_as_applicant_count,has_member_profiles,has_contact_records,has_subscriber_contacts,has_retos_signal
2EyesVision,2eyesvision,Startup o Spinoff,Socio,True,5,1,12,1,0,True,True,True,True
5SKILL SOLUTIONS,5skillsolutions,Pyme tecnológica,Socio,True,3,1,4,0,0,True,True,True,False
Abertis,abertis,End User o Coporate,OIC,True,0,1,3,1,0,False,True,True,True
Adara Ventures,adaraventures,Inversores y gestoras de VC o PE,Potencial,True,0,1,1,0,0,False,True,True,False
ADDICRAFT ENGINEERING,addicraftengineering,Startup o Spinoff,Socio,True,2,1,1,0,0,True,True,True,False
AIMEN Centro Tecnológico,aimencentrotecnologico,Centro o Grupo de I+D+i,Socio,True,5,1,31,0,5,True,True,True,True
AINIA,ainia,Centro o Grupo de I+D+i,Socio,True,5,1,28,0,8,True,True,True,True
Air Drone Logistics,airdronelogistics,Micropyme tecnológica,Socio,True,0,1,2,0,1,False,True,True,True
Airbus Defence&Space,airbusdefencespace,End User o Coporate,OIC,True,0,1,2,0,0,False,True,True,False
Alba Synchrotron,albasynchrotron,Centro o Grupo de I+D+i,Socio,True,3,1,8,0,0,True,True,True,False
Aleatica,aleatica,End User o Coporate,OIC,True,0,2,3,3,0,False,True,True,True
Alter Technology,altertechnology,Gran Empresa tecnológica,Socio,True,4,1,26,0,11,True,True,True,True
AMS Technologies,amstechnologies,Pyme tecnológica,Socio,True,1,1,4,0,1,True,True,True,True
Analog thinking,analogthinking,Startup o Spinoff,Socio,True,0,1,1,0,0,False,True,True,False
Angulas Aguinaga,angulasaguinaga,End User o Coporate,OIC,True,0,1,4,0,0,False,True,True,False
Aotech,aotech,Startup o Spinoff,Socio,True,3,1,3,0,5,True,True,True,True
ArcelorMittal,arcelormittal,End User o Coporate,Socio,True,1,1,10,5,0,True,True,True,True
Asabys Partners,asabyspartners,Inversores y gestoras de VC o PE,Potencial,True,0,1,3,0,0,False,True,True,False
ASENSE,asense,Pyme tecnológica,Socio,True,4,1,6,0,0,True,True,True,False
