socio,company_type,member_type,readiness_score,readiness_label,member_profile_count,subscriber_contact_count,retos_as_issuer_count,retos_as_applicant_count,has_activity_summary,has_main_contact_email,province,website
2EyesVision,Startup o Spinoff,Socio,100,High,5,12,1,0,True,True,Madrid,http://www.2eyesvision.com/
AIMEN Centro Tecnológico,Centro o Grupo de I+D+i,Socio,100,High,5,31,0,5,True,True,Pontevedra,http://www.aimen.es
AINIA,Centro o Grupo de I+D+i,Socio,100,High,5,28,0,8,True,True,Valencia,http://www.ainia.es
AMS Technologies,Pyme tecnológica,Socio,100,High,1,4,0,1,True,True,Barcelona,http://www.amstechnologies.com
ASINCAR,Centro o Grupo de I+D+i,Socio,100,High,5,8,0,1,True,True,Asturias,https://www.asincar.com/
Alter Technology,Gran Empresa tecnológica,Socio,100,High,4,26,0,11,True,True,Sevilla,http://www.altertechnology.com
Aotech,Startup o Spinoff,Socio,100,High,3,3,0,5,True,True,Bizkaia,https://www.aotech.es/
ArcelorMittal,End User o Coporate,Socio,100,High,1,10,5,0,True,True,Bizkaia,https://corporate.arcelormittal.com/
AsorCAD Engineering,Pyme tecnológica,Socio,100,High,3,6,0,5,True,True,Barcelona,http://www.asorcad.es
BIOBEE semiconductors,Startup o Spinoff,Socio,100,High,1,2,0,1,True,True,Badajoz,https://biobee.tech/
Beamagine,Micropyme tecnológica,Socio,100,High,2,5,0,11,True,True,Barcelona,http://beamagine.com/
Beawre,Startup o Spinoff,Socio,100,High,1,2,0,1,True,True,Barcelona,https://es.beawre.com/
CAT UAV,Pyme tecnológica,Socio,100,High,1,6,1,6,True,True,Barcelona,https://www.catuav.com/
CD6 - UPC,Centro o Grupo de I+D+i,Socio,100,High,2,13,0,10,True,True,Barcelona,http://www.cd6.upc.edu
CEIT,Centro o Grupo de I+D+i,Socio,100,High,16,33,0,15,True,True,Gipuzkoa,http://www.ceit.es
CEMDATIC - UPM,Centro o Grupo de I+D+i,Socio,100,High,2,11,0,3,True,True,Madrid,https://cemdatic.upm.es
COVAP,End User o Coporate,Socio,100,High,2,10,1,0,True,True,Córdoba,https://www.covap.es/?sl=es
CVBLab,Centro o Grupo de I+D+i,Socio,100,High,3,4,0,1,True,True,Valencia,https://www.cvblab.webs.upv.es/en/home/
CVC,Centro o Grupo de I+D+i,Socio,100,High,1,10,0,2,True,True,Barcelona,http://www.cvc.uab.cat
CalSens,Pyme tecnológica,Socio,100,High,4,9,0,2,True,True,Valencia,http://www.cal-sens.com
Celsa,End User o Coporate,Socio,100,High,2,6,6,0,True,True,Barcelona,http://celsagroup.com/
Diip Artificial Intelligence,Startup o Spinoff,Socio,100,High,1,2,0,2,True,True,Barcelona,https://diipai.io/
Draco Systems,Micropyme tecnológica,Socio,100,High,1,3,0,9,True,True,Barcelona,http://www.dracosystems.net/
Dronomy,Startup o Spinoff,Socio,100,High,1,2,0,4,True,True,Madrid,https://www.dronomy.es/
EXOM engineering,Startup o Spinoff,Socio,100,High,4,6,0,1,True,True,Bizkaia,https://www.exomengineering.com/
Eurecat,Centro o Grupo de I+D+i,Socio,100,High,12,69,0,22,True,True,Barcelona,http://eurecat.org
Fujitsu,Gran Empresa tecnológica,Socio,100,High,4,14,0,6,True,True,Madrid,https://www.fujitsu.com/es/
GPAINNOVA,Pyme tecnológica,Socio,100,High,2,10,5,1,True,True,Barcelona,https://www.gpainnova.com/
Greenlight Solutions,Micropyme tecnológica,Socio,100,High,3,5,0,4,True,True,Madrid,https://www.greenlightsl.com/
ICFO,Centro o Grupo de I+D+i,Socio,100,High,2,37,0,10,True,True,Barcelona,http://www.icfo.eu
IKERLAN,Centro o Grupo de I+D+i,Socio,100,High,3,15,0,1,True,True,Gipuzkoa,ikerlan.es
IMB-CNM,Centro o Grupo de I+D+i,Socio,100,High,10,18,0,9,True,True,Barcelona,http://www.imb-cnm.csic.es/index.php/en
IN2UB,Centro o Grupo de I+D+i,Socio,100,High,2,13,0,9,True,True,Barcelona,http://www.ub.edu/in2ub
IOVI Intelligent Vision,Micropyme tecnológica,Socio,100,High,2,6,0,5,True,True,Sevilla,https://www.inesoptics.com/
Imasenic,Micropyme tecnológica,Socio,100,High,1,2,0,8,True,True,Barcelona,https://www.imasenic.com/
LVD Biotech,Gran Empresa tecnológica,Socio,100,High,1,6,2,0,True,True,Barcelona,https://www.lvdbiotech.com/
Leitat,Centro o Grupo de I+D+i,Socio,100,High,13,46,0,18,True,True,Barcelona,http://www.leitat.org
LÚCID,Pyme tecnológica,Baja Solicitada,100,High,2,7,0,1,True,True,Barcelona,https://www.lucid.pro/
Macsa ID,Pyme tecnológica,Socio,100,High,2,15,0,3,True,True,Barcelona,http://www.macsa.com
Mapsi Photonics,Startup o Spinoff,Socio,100,High,1,2,0,2,True,True,Barcelona,https://mapsi.es/
Monocrom,Pyme tecnológica,Socio,100,High,5,7,0,5,True,True,Barcelona,https://www.monocrom.com
New Infrared Technologies,Micropyme tecnológica,Socio,100,High,3,9,0,4,True,True,Madrid,http://www.niteurope.com
Pal Robotics,Pyme tecnológica,Socio,100,High,3,11,1,0,True,True,Barcelona,www.pal-robotics.com
ProCareLight,Micropyme tecnológica,Socio,100,High,3,6,0,6,True,True,Barcelona,http://www.procarelight.com
Quside,Micropyme tecnológica,Socio,100,High,1,14,0,3,True,True,Barcelona,http://www.quside.com/
Radiantis,Micropyme tecnológica,Socio,100,High,4,7,1,3,True,True,Barcelona,http://www.radiantis.com
Robotnik,Pyme tecnológica,Socio,100,High,7,12,0,4,True,True,Valencia,https://www.robotnik.eu/
Rosepetal,Startup o Spinoff,Socio,100,High,1,2,0,2,True,True,Barcelona,https://www.rosepetal.ai/
SAIKARIS,Startup o Spinoff,Socio,100,High,1,1,0,2,True,True,,https://www.saikaris.com/
SISTAM,Startup o Spinoff,Socio,100,High,1,2,0,6,True,True,Madrid,http://www.lidax.com/en/
Stimulo,Pyme tecnológica,Socio,100,High,5,6,0,7,True,True,Barcelona,https://stimulo.com/
Subsea Mechatronics,Startup o Spinoff,Socio,100,High,1,3,0,2,True,True,Las Palmas,https://www.subseamechatronics.com/
Tecnalia,Centro o Grupo de I+D+i,Socio,100,High,14,58,1,12,True,True,Bizkaia,http://www.tecnalia.com
Tekniker,Centro o Grupo de I+D+i,Socio,100,High,7,53,0,14,True,True,Gipuzkoa,http://www.tekniker.es
Thales Alenia Space España,Gran Empresa tecnológica,Socio,100,High,5,4,1,0,True,True,Madrid,https://www.thalesaleniaspace.com/en
VLC Photonics,End User o Coporate,Socio,100,High,5,16,0,1,True,True,Valencia,http://www.vlcphotonics.com
Vicomtech,Centro o Grupo de I+D+i,Socio,100,High,4,19,0,1,True,True,Gipuzkoa,http://www.vicomtech.org/
Zabala Innovation,Gran Empresa tecnológica,Socio,100,High,1,53,1,0,True,True,Navarra,https://www.zabala.es/
Zepren Solutions,Startup o Spinoff,Socio,100,High,2,7,0,7,True,True,Zaragoza,https://zepren.com/
bcb,Pyme tecnológica,Socio,100,High,1,9,0,9,True,True,Madrid,http://www.bcb.es
rbz,Pyme tecnológica,Socio,100,High,1,7,0,8,True,True,Madrid,http://www.rbzrobotdesign.com
t2c,Pyme tecnológica,Socio,100,High,2,6,0,3,True,True,Barcelona,https://t2client.com/
Nulab,Startup o Spinoff,Socio,85,High,1,5,0,3,False,True,Navarra,http://www.nulab.es
