socio,company_type,member_type
Abertis,End User o Coporate,OIC
Adara Ventures,Inversores y gestoras de VC o PE,Potencial
Air Drone Logistics,Micropyme tecnológica,Socio
Airbus Defence&Space,End User o Coporate,OIC
Aleatica,End User o Coporate,OIC
Analog thinking,Startup o Spinoff,Socio
Angulas Aguinaga,End User o Coporate,OIC
Asabys Partners,Inversores y gestoras de VC o PE,Potencial
Axon Partners Group,Inversores y gestoras de VC o PE,Potencial
Backfund,Inversores y gestoras de VC o PE,Potencial
BANCO SABADELL BStartup10,Inversores y gestoras de VC o PE,Potencial
Baux,End User o Coporate,OIC
BBraun,End User o Coporate,OIC
BBVA,End User o Coporate,OIC
Big Sur Ventures,Inversores y gestoras de VC o PE,Socio
Blind Faith Ventures,Inversores y gestoras de VC o PE,Potencial
BSH,End User o Coporate,OIC
Cargill,End User o Coporate,OIC
CCL Label,End User o Coporate,OIC
CDTI,Entidades Públicas e Instituciones,Socio
CODORNIU,End User o Coporate,OIC
Continental Automotive Spain,End User o Coporate,OIC
CRB Health Tech,Inversores y gestoras de VC o PE,Potencial
"Demea Sustainable Investments, S.A.",Inversores y gestoras de VC o PE,Potencial
Elewit,Inversores y gestoras de VC o PE,Potencial
Encomenda,Inversores y gestoras de VC o PE,Potencial
Evlox,End User o Coporate,OIC
Fides Capital,Inversores y gestoras de VC o PE,Potencial
FOSSA Systems,Pyme tecnológica,Socio
Frit Ravich,End User o Coporate,OIC
Fundación Idonial,Centro o Grupo de I+D+i,Socio
Grupo Elecnor,End User o Coporate,OIC
Hasten Ventures,Inversores y gestoras de VC o PE,Potencial
HIMIKODE,Startup o Spinoff,Socio
Hospital Clínic de Barcelona,Centro o Grupo de I+D+i,OIC
Hospital Germans Trias i Pujol,Centro o Grupo de I+D+i,OIC
HP,End User o Coporate,OIC
ICF CAPITAL,Inversores y gestoras de VC o PE,Potencial
Inmersia,Micropyme tecnológica,Socio
Invivo Capital,Inversores y gestoras de VC o PE,Potencial
iPronics,Pyme tecnológica,Socio
Laboratorios HARTMANN,End User o Coporate,OIC
Laser Line Scanning,Startup o Spinoff,Socio
Lecta,End User o Coporate,OIC
Lenz Instruments,Micropyme tecnológica,Socio
Lubrizol,Gran Empresa tecnológica,OIC
Mahou san Miguel,Inversores y gestoras de VC o PE,Potencial
MAIMAN ELECTRONICS,Startup o Spinoff,Socio
Master in Photonics - Europhotonics,Centro o Grupo de I+D+i,Socio
Micrauto,Micropyme tecnológica,Socio
Mundi Ventures,Inversores y gestoras de VC o PE,Potencial
Nabla Vision,Startup o Spinoff,Socio
Navantia,End User o Coporate,OIC
Nestlé,End User o Coporate,OIC
Ommatidia Lidar,Startup o Spinoff,Socio
OPTOSIGMA,Gran Empresa tecnológica,Socio
Promsa,End User o Coporate,OIC
QPO,Startup o Spinoff,Socio
Qurv Technologies,Startup o Spinoff,Socio
Recursos Laser,Micropyme tecnológica,Socio
Repsol,End User o Coporate,OIC
Roca,End User o Coporate,OIC
Rumbo Ventures,Inversores y gestoras de VC o PE,Potencial
SEAT,End User o Coporate,OIC
SENER,End User o Coporate,OIC
Sens Solutions,Startup o Spinoff,Socio
Sensofar Medical,Micropyme tecnológica,Socio
SETT,Inversores y gestoras de VC o PE,Partner
Ship2B Ventures,Inversores y gestoras de VC o PE,Potencial
singular things,Startup o Spinoff,Socio
Standard Profil,End User o Coporate,OIC
Suma Capital,Inversores y gestoras de VC o PE,Potencial
Swanlaab Venture Factory,Inversores y gestoras de VC o PE,Potencial
TEKHNĒ,Startup o Spinoff,Socio
Telefónica,End User o Coporate,OIC
TMB,End User o Coporate,OIC
TRADEBE,End User o Coporate,OIC
UDIT,Centro o Grupo de I+D+i,Socio
UPV - EHU,Centro o Grupo de I+D+i,Socio
Velcro,End User o Coporate,OIC
VIGO Ventures,Inversores y gestoras de VC o PE,Potencial
Visiona,Micropyme tecnológica,Socio
WA4STEAM,Inversores y gestoras de VC o PE,Potencial
YSIUM MEDICAL,Startup o Spinoff,Socio
