raw_socio,in_datoscontacto,in_suscriptores_empresa
ENHOL,True,True
Volkswagen Navarra,True,True
FALCON ELECTRONICA,True,True
Marc Fornell,False,False
Distinkt,True,True
SATLANTIS,True,True
Jean Baptiste Benard,False,False
Magnetika,True,True
Sensia Solutions,True,True
PICadvanced,True,True
LeapWave Technologies,True,True
Vidorreta (actual Ysium Medical),True,False
EYE4SKY,True,False
Iberoptics,True,True
Steneg &amp; Partners S.L.,True,True
INESCOP,True,True
INMA -Instituto de Nanociencia y Materiales de Aragón (época antigua),True,False
ARCbcn-WATTEGA,True,True
XRF.ai,True,False
Zelestium Technologies,True,True
CIDETEC Energy Storage,True,True
NAITEC,True,True
"Deikoo Smart Devices, S.L.",True,False
Microlan Aerospace,True,True
das-Nano,True,True
Uptech Sensing,True,True
Artikode Intelligence,True,True
Alteria Automation,True,True
Innogando,True,True
Microrelleus,True,True
Segula Tecnologías España,True,False
